fecha,contagiados_a,recuperados_a,muertos_a
2020-03-03,1,0,0
2020-03-04,3,0,0
2020-03-05,4,0,0
2020-03-06,5,0,0
2020-03-07,6,0,0
2020-03-08,8,0,0
2020-03-09,11,0,0
2020-03-10,17,0,0
2020-03-11,22,0,0
2020-03-12,33,0,0
2020-03-13,43,0,0
2020-03-14,61,0,0
2020-03-15,75,0,0
2020-03-16,156,0,0
2020-03-17,201,1,0
2020-03-18,238,3,0
2020-03-19,341,5,0
2020-03-20,434,6,0
2020-03-21,537,8,1
2020-03-22,632,8,1
2020-03-23,746,11,2
2020-03-24,922,17,2
2020-03-25,1142,22,3
2020-03-26,1306,33,4
2020-03-27,1610,43,5
2020-03-28,1909,61,6
2020-03-29,2139,75,7
2020-03-30,2449,156,8
2020-03-31,2738,156,12
2020-04-01,3031,234,16
2020-04-02,3404,335,18
2020-04-03,3737,427,22
2020-04-04,4161,528,27
2020-04-05,4471,617,34
2020-04-06,4815,728,37
2020-04-07,5116,898,43
2020-04-08,5546,1115,48
2020-04-09,5972,1274,57
